2009-04-02 07:12:05.002864	M005	ON	Cook_Breakfast begin
2009-04-02 07:12:05.999979	M002	ON
2009-04-02 07:12:08.061644	M006	ON
2009-04-02 07:12:09.655459	M005	OFF
2009-04-02 07:12:10.656179	M002	OFF
2009-04-02 07:12:11.003479	M001	ON
2009-04-02 07:12:11.191519	M006	OFF
2009-04-02 07:12:12.037909	M009	ON
2009-04-02 07:12:13.815579	M004	ON
2009-04-02 07:12:15.004275	M014	ON
2009-04-02 07:12:15.081328	M003	ON
2009-04-02 07:12:16.486749	M001	OFF
2009-04-02 07:12:17.037296	M004	OFF
2009-04-02 07:12:17.715389	M009	OFF
2009-04-02 07:12:18.086225	M015	ON
2009-04-02 07:12:23.042769	M014	OFF
2009-04-02 07:12:32.746769	M003	OFF
2009-04-02 07:12:34.050113	M003	ON
2009-04-02 07:12:39.019843	M016	ON
2009-04-02 07:12:43.077266	M015	OFF
2009-04-02 07:12:44.011959	M015	ON
2009-04-02 07:12:45.006251	M003	OFF
2009-04-02 07:12:49.096122	M015	OFF
2009-04-02 07:12:55.015964	M016	OFF
2009-04-02 07:12:55.379009	M016	ON
2009-04-02 07:12:56.082288	M015	ON
2009-04-02 07:12:58.837249	M015	OFF
2009-04-02 07:13:09.362979	M016	OFF
2009-04-02 07:13:09.565639	M016	ON
2009-04-02 07:13:16.087013	M015	ON
2009-04-02 07:13:17.179559	M003	ON
2009-04-02 07:13:23.083909	M015	OFF
2009-04-02 07:13:24.038009	M016	OFF
2009-04-02 07:13:25.080133	M015	ON
2009-04-02 07:13:31.122339	M003	OFF
2009-04-02 07:13:36.462239	M018	22
2009-04-02 07:13:37.009328	M017	21
2009-04-02 07:13:37.056727	M015	OFF
2009-04-02 07:13:38.059206	M003	ON
2009-04-02 07:13:38.790859	M015	ON
2009-04-02 07:13:43.045878	M003	OFF
2009-04-02 07:13:44.149049	M003	ON
2009-04-02 07:13:48.222759	M014	ON
2009-04-02 07:13:52.021438	M015	OFF
2009-04-02 07:13:52.089436	M003	OFF
